,HCPID,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
5953,160830_fnca,Declarative,,,1.413260769852257,1.8043595426335308,0.7873939186847551,0.713965008140656,-36.83385110708437,0.9644783159511494,4.99998049026799,-42.92940772283697,Procedural,6.095556615752599
5954,160830_fnca,Declarative,,,1.7393527720023447,1.9823852922870056,0.8271416279152032,0.7991053824133977,-37.68846512232062,0.3466044700438302,1.6540006459639198,-41.14358520520855,Procedural,3.4551200828879303
5955,160830_fnca,Declarative,,,0.8662958590866574,1.0561987549823197,0.3021806493426047,0.3105064045945855,-37.1628577921179,0.5125319868237367,2.828584202802499,-42.57686179874508,Procedural,5.414004006627181
5956,160830_fnca,Declarative,,,1.2299026735981446,0.4855146562436252,0.5487147284284388,0.334808199585253,-31.8703741501318,1.6271744682139433,4.999973697781139,-41.800545184767394,Procedural,9.930171034635595
5957,160830_fnca,Declarative,,,1.799030411485253,0.36032046323011824,1.0000022184861475,0.023000043524221667,-20.101268266263357,0.5188059343079683,2.1358196677391867,-41.14320531903443,Procedural,21.041937052771072
5958,160830_fnca,Declarative,,,1.456050399380394,1.3149011836940787,1.1931778055219062,0.625276988639596,-30.25971754845564,0.27110100529451203,2.440962908554249,-43.08671689049191,Procedural,12.826999342036267
5959,160830_fnca,Declarative,,,0.672449454681317,1.39480297214065,0.0935778437659859,0.26363395809590096,-37.72732367623689,0.010000001785381771,1.7727711230277496,-39.21965236139455,Procedural,1.4923286851576592
5960,102311_fnca,Procedural,0.8479855894500924,0.8102941719880725,,,0.825576235729693,0.7734303078375576,-38.56592859324645,0.24984722777574464,2.707094531325382,-43.09277503715921,Procedural,4.52684644391276
5961,102311_fnca,Procedural,1.8951847043230599,1.3082666225500734,,,1.6903792110787257,0.9018516188357518,-27.447488481171888,0.9165966347278213,4.999802497359999,-42.453766509125636,Procedural,15.006278027953748
5962,102311_fnca,Procedural,1.8041362060281723,1.0842833119987594,,,1.877130169120797,1.5419031639649645,-29.070660910784238,0.9376673676585854,4.999918047292172,-43.40921245275018,Procedural,14.338551541965945
