,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
148,Punishment,0.15,0.45,1,0.1208,0.3260251430720217,109123_fnca,0.32,-0.6109958211290318,0.33101338050912915,-1.1055964799232425
258,Reward,0.15,0.45,1,0.1344,0.3412180883644092,109123_fnca,0.24,-0.3094794901002517,0.3802876607760377,-0.9668273106010286
149,Punishment,0.15,0.5,1,0.1088,0.3115127479794734,109123_fnca,0.32,-0.677981884753932,0.31702702662976706,-1.1487682512319195
259,Reward,0.15,0.5,1,0.1168,0.321310367529318,109123_fnca,0.24,-0.38342989349311485,0.3706682672173053,-0.9924477748167433
150,Punishment,0.2,0.05,1,0.5896,0.4921032132164615,109123_fnca,0.32,0.5478525495451521,0.3433483528472937,-1.0690097412262345
260,Reward,0.2,0.05,1,0.4968,0.5001898758766948,109123_fnca,0.24,0.5134050335383148,0.34968207395514134,-1.0507308974359117
151,Punishment,0.2,0.1,1,0.5272,0.4994594355723253,109123_fnca,0.32,0.41484850468901785,0.3660489636273301,-1.0049881741260296
261,Reward,0.2,0.1,1,0.38,0.4855807151285186,109123_fnca,0.24,0.28831458012690275,0.38270103512412407,-0.9605011817615488
152,Punishment,0.2,0.15,1,0.364,0.4813412006894746,109123_fnca,0.32,0.09141124827248166,0.3972789733750777,-0.9231165413600392
262,Reward,0.2,0.15,1,0.2592,0.4383709562416527,109123_fnca,0.24,0.04379852206590065,0.3985598162622943,-0.9198976884722512
153,Punishment,0.2,0.2,1,0.224,0.417088924015526,109123_fnca,0.32,-0.23016674496114511,0.3885136796081785,-0.945426898447677
263,Reward,0.2,0.2,1,0.1504,0.3576061321014692,109123_fnca,0.24,-0.25055498761575035,0.38661441197963653,-0.950327434114237
154,Punishment,0.2,0.25,1,0.1992,0.3995586035391175,109123_fnca,0.32,-0.30233362247741835,0.3811198665967308,-0.9646413428448316
264,Reward,0.2,0.25,1,0.1336,0.3403582156669318,109123_fnca,0.24,-0.3126118163227211,0.3799173282920144,-0.967801607056968
155,Punishment,0.2,0.3,1,0.1528,0.3599386123267617,109123_fnca,0.32,-0.46452365562884224,0.35814059488874744,-1.0268296465240643
265,Reward,0.2,0.3,1,0.1296,0.3359972549356012,109123_fnca,0.24,-0.3285741129675592,0.37797810547614236,-0.9729190070608819
156,Punishment,0.2,0.35,1,0.128,0.3342235244434974,109123_fnca,0.32,-0.5744658468301768,0.33825878586675795,-1.0839440377918286
266,Reward,0.2,0.35,1,0.1312,0.3377540854790749,109123_fnca,0.24,-0.3221278577450118,0.37877166912936544,-0.970821711572368
157,Punishment,0.2,0.4,1,0.112,0.3154926758306795,109123_fnca,0.32,-0.6592863034057586,0.32101489722322335,-1.1362677481338876
267,Reward,0.2,0.4,1,0.1304,0.3368777661162023,109123_fnca,0.24,-0.3253405567947001,0.37837792844004337,-0.9718617721524154
158,Punishment,0.2,0.45,1,0.1128,0.3164747778702474,109123_fnca,0.32,-0.6547125220985245,0.32198098869488206,-1.1332627765009782
268,Reward,0.2,0.45,1,0.1144,0.3184238606072151,109123_fnca,0.24,-0.3944428026231714,0.3690839716161404,-0.9967310954752837
159,Punishment,0.2,0.5,1,0.1088,0.3115127479794735,109123_fnca,0.32,-0.6779818847539318,0.31702702662976706,-1.1487682512319195
269,Reward,0.2,0.5,1,0.1192,0.3241533901353941,109123_fnca,0.24,-0.3726630776545129,0.3721800941023442,-0.9883774179281394
160,Punishment,0.25,0.05,1,0.5552,0.4971425153257724,109123_fnca,0.32,0.47310377356455996,0.35670287613081725,-1.030852123485186
270,Reward,0.25,0.05,1,0.5032,0.500189875876695,109123_fnca,0.24,0.5262001745610764,0.3473640737902138,-1.0573818450587262
161,Punishment,0.25,0.1,1,0.5336,0.4990694302769802,109123_fnca,0.32,0.427996561282973,0.364026336318378,-1.0105290614396976
271,Reward,0.25,0.1,1,0.3912,0.4882143408320519,109123_fnca,0.24,0.3097000381887871,0.38026169583749875,-0.9668955900317407
162,Punishment,0.25,0.15,1,0.4024,0.490577999321958,109123_fnca,0.32,0.16796513523616508,0.3933542488617147,-0.9330446765321243
272,Reward,0.25,0.15,1,0.2848,0.4514997692505577,109123_fnca,0.24,0.09922485691269192,0.39698319890883615,-0.9238613193193448
163,Punishment,0.25,0.2,1,0.2424,0.4287065096509891,109123_fnca,0.32,-0.1810096143937127,0.3924599546021167,-0.9353207734561529
273,Reward,0.25,0.2,1,0.1728,0.3782255989260196,109123_fnca,0.24,-0.17767173927628366,0.39269495804898497,-0.9347221566734025
164,Punishment,0.25,0.25,1,0.1792,0.3836731996103969,109123_fnca,0.32,-0.3669789814429993,0.3729632761246966,-0.9862753196151434
274,Reward,0.25,0.25,1,0.132,0.3386262455678087,109123_fnca,0.24,-0.3189357039319428,0.37915942161891103,-0.9697985248259545
165,Punishment,0.25,0.3,1,0.1536,0.3607092026870432,109123_fnca,0.32,-0.46131343131927577,0.3586732133851754,-1.0253435741624546
275,Reward,0.25,0.3,1,0.1336,0.3403582156669315,109123_fnca,0.24,-0.31261181632272145,0.37991732829201436,-0.9678016070569682
166,Punishment,0.25,0.35,1,0.1376,0.3446175401792538,109123_fnca,0.32,-0.5292824036325143,0.34679950389378955,-1.0590084646021785
276,Reward,0.25,0.35,1,0.1344,0.3412180883644091,109123_fnca,0.24,-0.30947949010025183,0.3802876607760377,-0.9668273106010286
167,Punishment,0.25,0.4,1,0.1336,0.3403582156669315,109123_fnca,0.32,-0.5476582947608579,0.34338488846740656,-1.0689033371148582
277,Reward,0.25,0.4,1,0.1304,0.3368777661162024,109123_fnca,0.24,-0.3253405567947,0.37837792844004337,-0.9718617721524154
168,Punishment,0.25,0.45,1,0.1184,0.32321047633022,109123_fnca,0.32,-0.6237421580172664,0.328418794329618,-1.1134656730486907
278,Reward,0.25,0.45,1,0.1216,0.3269540627784489,109123_fnca,0.24,-0.3621303830692276,0.3736231012434826,-0.9845077403756053
