,HCPID,LL.m1,LL.m2,LL.diff,BestModel
99,128127_fnca,-2.670193844707656,-2.2624624583579083,-0.4077313863497478,model2
7,128329_fnca,-1.894141175291685,-1.840627320322099,-0.05351385496958594,model2
134,128632_fnca,-1.8642799498143137,-1.8493610161891636,-0.014918933625150066,model2
171,129028_fnca,-1.971098629779964,-1.9092556728903007,-0.061842956889663236,model2
155,130013_fnca,-1.913189107751248,-1.9619321736137467,0.04874306586249877,model1
160,130316_fnca,-2.091180360392703,-2.1038529930278616,0.01267263263515872,model1
100,130922_fnca,-1.838876997539931,-1.8393043456616092,0.0004273481216781061,model1
80,131217_fnca,-2.09630943593112,-1.9609454084420064,-0.13536402748911347,model2
63,131722_fnca,-1.8481514411688729,-1.8388553063267423,-0.009296134842130543,model2
157,131924_fnca,-1.8432455537594084,-1.854479581760465,0.01123402800105655,model1
22,132118_fnca,-2.167840630452889,-1.861102308255226,-0.30673832219766295,model2
91,133019_fnca,-1.975699805423241,-1.9332645490565,-0.04243525636674117,model2
158,133625_fnca,-1.880267739275034,-1.8466575474543845,-0.033610191820649504,model2
147,133827_fnca,-1.8929619369768944,-1.839209287756827,-0.053752649220067505,model2
116,133982_fnca,-1.889599993307452,-1.837956643393857,-0.051643349913595094,model2
114,134234_fnca,-1.8506143749478143,-1.8484472318749032,-0.002167143072911104,model2
108,135225_fnca,-1.8830612890394247,-1.867131328391092,-0.01592996064833274,model2
60,135528_fnca,-1.89246083040078,-1.839027739421165,-0.05343309097961502,model2
58,135932_fnca,-1.8646242890056717,-1.8622169216721027,-0.002407367333568944,model2
178,136227_fnca,-1.8379372399858196,-1.842696250908816,0.004759010922996465,model1
4,136833_fnca,-2.2246196931063347,-2.0122348641882737,-0.21238482891806099,model2
67,137027_fnca,-2.0355516535530787,-2.069616416279999,0.03406476272692016,model1
164,137128_fnca,-1.838335729446381,-1.8501830063566749,0.011847276910293969,model1
56,137633_fnca,-1.867728096238036,-1.8689588192901856,0.0012307230521495516,model1
122,137936_fnca,-1.920162834879636,-1.849799751009176,-0.07036308387046009,model2
57,138231_fnca,-1.978111561479733,-1.83822830184184,-0.13988325963789316,model2
24,138534_fnca,-1.9641006644140515,-1.9222016566826952,-0.04189900773135635,model2
29,139233_fnca,-1.9410450618693496,-1.8413948339122008,-0.09965022795714873,model2
37,139637_fnca,-1.858802513199854,-1.841337380225045,-0.017465132974809006,model2
138,140117_fnca,-1.9129223387321448,-1.8438622142231949,-0.06906012450894994,model2
27,140824_fnca,-1.8537742462293745,-1.8684862704148344,0.014712024185459915,model1
111,140925_fnca,-1.9038783828305663,-1.8742060624469787,-0.02967232038358758,model2
53,141422_fnca,-1.88259628613635,-1.839470763561466,-0.04312552257488411,model2
30,141826_fnca,-1.848977094320339,-1.855142821579109,0.006165727258770071,model1
44,142424_fnca,-1.9679379167744968,-1.839568253690168,-0.12836966308432873,model2
144,142828_fnca,-1.8742562315572484,-1.8423831636386792,-0.03187306791856925,model2
136,143325_fnca,-1.838224160150784,-1.838691172797123,0.0004670126463388602,model1
82,144226_fnca,-2.159253617586515,-1.8841691398843263,-0.2750844777021886,model2
177,144832_fnca,-1.8661241206529957,-1.8868435132660493,0.020719392613053556,model1
172,145531_fnca,-2.1283970269808274,-1.989754879623304,-0.13864214735752345,model2
119,145834_fnca,-1.8917676612080336,-1.8394150806786111,-0.05235258052942249,model2
38,146331_fnca,-2.027685503967172,-1.8756413675219816,-0.15204413644519033,model2
65,146432_fnca,-1.8534561396343736,-1.8387813259773276,-0.014674813657046037,model2
131,147030_fnca,-1.9032008741167488,-1.9080818005026243,0.004880926385875561,model1
13,147737_fnca,-1.8708717047948575,-1.8396835053558145,-0.03118819943904305,model2
76,148032_fnca,-1.8486365811806784,-1.8704490117618813,0.021812430581202857,model1
129,148335_fnca,-1.894756301426662,-1.8702760460807948,-0.024480255345867175,model2
42,148840_fnca,-1.9690302863880969,-1.8919689714564685,-0.07706131493162838,model2
92,148941_fnca,-1.8680681395334355,-1.8959786993448973,0.027910559811461733,model1
184,149337_fnca,-1.924497980540166,-1.8520974066358973,-0.0724005739042688,model2
43,149539_fnca,-2.003819883320427,-1.929946980306363,-0.07387290301406413,model2
109,149741_fnca,-1.887967892028369,-1.839761274992465,-0.0482066170359039,model2
88,150423_fnca,-1.909249118685346,-1.8517919785619352,-0.057457140123410744,model2
137,150523_fnca,-1.8636870230887144,-1.83812216090158,-0.025564862187134274,model2
