,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
263,Reward,0.2,0.2,1,0.1472,0.3544469863504365,130316_fnca,0.76,-1.728890422541592,0.08950421321488311,-2.413469579782695
154,Punishment,0.2,0.25,1,0.1984,0.3989545986919492,130316_fnca,0.28,-0.20453455171977367,0.3906841974004023,-0.939855724628277
264,Reward,0.2,0.25,1,0.1272,0.3333302375089756,130316_fnca,0.76,-1.8984176315026342,0.06581330318612894,-2.7209332850047083
155,Punishment,0.2,0.3,1,0.152,0.3591645853358701,130316_fnca,0.28,-0.35638257563813475,0.37439540653883663,-0.9824428033139081
265,Reward,0.2,0.3,1,0.1296,0.3359972549356013,130316_fnca,0.76,-1.8762058044814245,0.0686308838552265,-2.6790126435895676
156,Punishment,0.2,0.35,1,0.1256,0.3315306472349802,130316_fnca,0.28,-0.46571863351916715,0.35794159225836886,-1.0273854560081528
266,Reward,0.2,0.35,1,0.1264,0.3324326234883203,130316_fnca,0.76,-1.9059501241227033,0.06487704141934218,-2.7352614710263468
157,Punishment,0.2,0.4,1,0.1184,0.3232104763302199,130316_fnca,0.28,-0.49998379333130105,0.3520681796326777,-1.0439304300016514
267,Reward,0.2,0.4,1,0.1336,0.3403582156669318,130316_fnca,0.76,-1.8404139261706067,0.07335091918153754,-2.6125002430260262
158,Punishment,0.2,0.45,1,0.1128,0.3164747778702472,130316_fnca,0.28,-0.528320143315026,0.34697601581221305,-1.0584996201208774
268,Reward,0.2,0.45,1,0.124,0.3297134646553277,130316_fnca,0.76,-1.9289476111169885,0.06207835035055629,-2.779357976421641
159,Punishment,0.2,0.5,1,0.1088,0.3115127479794736,130316_fnca,0.28,-0.5495762247626568,0.343023765646667,-1.0699555466168598
269,Reward,0.2,0.5,1,0.1248,0.3306242730471288,130316_fnca,0.76,-1.9212140540856644,0.06300946952201109,-2.7644702540128097
160,Punishment,0.25,0.05,1,0.576,0.4943880415508678,130316_fnca,0.28,0.5987199833383194,0.33348034782340064,-1.0981713424289914
270,Reward,0.25,0.05,1,0.4864,0.5000150518150759,130316_fnca,0.76,-0.5471835277894543,0.3434741448944274,-1.0686434397467288
161,Punishment,0.25,0.1,1,0.5552,0.4971425153257721,130316_fnca,0.28,0.55356359900071,0.34227017710141683,-1.072154862273982
271,Reward,0.25,0.1,1,0.4208,0.4938851060706316,130316_fnca,0.76,-0.6867994110992492,0.3151252031694227,-1.1547852487478105
162,Punishment,0.25,0.15,1,0.4064,0.4913574928182117,130316_fnca,0.28,0.2572465096136518,0.385958118554211,-0.952026416558876
272,Reward,0.25,0.15,1,0.2872,0.4526367904305186,130316_fnca,0.76,-1.0445461129005962,0.23119891752213872,-1.4644768241925452
163,Punishment,0.25,0.2,1,0.2408,0.4277402592502914,130316_fnca,0.28,-0.09164440136803263,0.39727049553395866,-0.9231378813557252
273,Reward,0.25,0.2,1,0.1744,0.3796049524649917,130316_fnca,0.76,-1.5426563752589761,0.12137954838302352,-2.1088328792682542
164,Punishment,0.25,0.25,1,0.1728,0.3782255989260198,130316_fnca,0.28,-0.2834287269407382,0.3832359374350064,-0.9591044548322964
274,Reward,0.25,0.25,1,0.1304,0.3368777661162022,130316_fnca,0.76,-1.8689271401272194,0.0695727117724754,-2.6653828607567265
165,Punishment,0.25,0.3,1,0.136,0.3429257623200251,130316_fnca,0.28,-0.41991595797814796,0.3652755644733955,-1.0071032390870254
275,Reward,0.25,0.3,1,0.1288,0.3351125188951559,130316_fnca,0.76,-1.8835464639788007,0.06769031450697889,-2.692812174188194
166,Punishment,0.25,0.35,1,0.1288,0.3351125188951559,130316_fnca,0.28,-0.4511917385196368,0.36033341417491116,-1.0207255256588588
276,Reward,0.25,0.35,1,0.1304,0.3368777661162024,130316_fnca,0.76,-1.8689271401272183,0.06957271177247555,-2.6653828607567243
167,Punishment,0.25,0.4,1,0.1104,0.3135131135660871,130316_fnca,0.28,-0.5409662073489285,0.3446379780246599,-1.0652607519514146
277,Reward,0.25,0.4,1,0.1288,0.335112518895156,130316_fnca,0.76,-1.8835464639788004,0.0676903145069789,-2.692812174188194
168,Punishment,0.25,0.45,1,0.1168,0.3213103675293181,130316_fnca,0.28,-0.5079201186532171,0.35066288568738774,-1.0479299566710216
278,Reward,0.25,0.45,1,0.1336,0.3403582156669318,130316_fnca,0.76,-1.8404139261706067,0.07335091918153754,-2.6125002430260262
169,Punishment,0.25,0.5,1,0.0992,0.2990500037180724,130316_fnca,0.28,-0.6045811662000451,0.3323064390909961,-1.101697726466576
279,Reward,0.25,0.5,1,0.1104,0.3135131135660873,130316_fnca,0.76,-2.0720026432421204,0.04662884163920542,-3.0655360100058395
