,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
327,Reward,0.15,0.3,0.1,0.1424,0.349599794068604,118932_fnca,0.52,-1.0800921694075754,0.22263133532082985,-1.5022380804124538
185,Punishment,0.15,0.35,0.1,0.2256,0.4181441325816853,118932_fnca,0.4583333333333333,-0.5565863901913496,0.3416963717745478,-1.0738327380777912
328,Reward,0.15,0.35,0.1,0.2344,0.4237927798537924,118932_fnca,0.52,-0.6739142655958684,0.31789989165140065,-1.146018751891482
186,Punishment,0.15,0.4,0.1,0.2232,0.4165580109194503,118932_fnca,0.4583333333333333,-0.5644671982524926,0.34019028976377963,-1.078250142156182
329,Reward,0.15,0.4,0.1,0.2248,0.4176176284436155,118932_fnca,0.52,-0.7068667122605825,0.31074929799653106,-1.1687688076557152
187,Punishment,0.15,0.45,0.1,0.1368,0.3437736235422881,118932_fnca,0.4583333333333333,-0.9353054199452887,0.25760274017217016,-1.3563366474941891
330,Reward,0.15,0.45,0.1,0.1416,0.3487789520683906,118932_fnca,0.52,-1.0849278540346126,0.22146897712448294,-1.5074727574347475
188,Punishment,0.15,0.5,0.1,0.1456,0.3528459156517949,118932_fnca,0.4583333333333333,-0.886316999746579,0.26935705292270745,-1.3117174452245612
331,Reward,0.15,0.5,0.1,0.1528,0.3599386123267621,118932_fnca,0.52,-1.0201739614049683,0.23708987532106823,-1.4393159889690257
189,Punishment,0.15,0.55,0.1,0.1456,0.3528459156517952,118932_fnca,0.4583333333333333,-0.8863169997465782,0.2693570529227076,-1.3117174452245606
332,Reward,0.15,0.55,0.1,0.1448,0.3520399205836572,118932_fnca,0.52,-1.065788219068863,0.22607447532528113,-1.486890797157662
190,Punishment,0.15,0.6,0.1,0.1488,0.3560336612939562,118932_fnca,0.4583333333333333,-0.8693934506315394,0.2733886091594738,-1.2968610192051802
333,Reward,0.15,0.6,0.1,0.1488,0.3560336612939557,118932_fnca,0.52,-1.0425980471928535,0.23166941074576702,-1.4624438772098485
191,Punishment,0.15,0.65,0.1,0.1208,0.3260251430720213,118932_fnca,0.4583333333333333,-1.0352984746908607,0.23343304246052263,-1.454859999053284
334,Reward,0.15,0.65,0.1,0.1336,0.3403582156669318,118932_fnca,0.52,-1.135274490856198,0.20943065056025623,-1.5633626179990725
192,Punishment,0.15,0.7,0.1,0.184,0.3876392799615325,118932_fnca,0.4583333333333333,-0.7077026181674799,0.310565630030604,-1.1693600310852255
335,Reward,0.15,0.7,0.1,0.1824,0.3863284091440459,118932_fnca,0.52,-0.8738679113658527,0.27232444896494373,-1.3007610964621314
193,Punishment,0.15,0.75,0.1,0.1704,0.3761343132676065,118932_fnca,0.4583333333333333,-0.7655066905009508,0.29761970064642507,-1.2119387798055319
336,Reward,0.15,0.75,0.1,0.152,0.3591645853358697,118932_fnca,0.52,-1.0245999049596384,0.23601946092107282,-1.4438410158263224
194,Punishment,0.15,0.8,0.1,0.204,0.4031302658061874,118932_fnca,0.4583333333333333,-0.6308961517059821,0.32694820657021717,-1.1179535103233813
337,Reward,0.15,0.8,0.1,0.22,0.4144121015510161,118932_fnca,0.52,-0.7239170836884179,0.3069818955656739,-1.1809665052326446
