,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
172,Punishment,0.1,0.35,0.1,0.1552,0.3622401611465493,113215_fnca,0.1739130434782608,-0.051659218069666724,0.3984103117856843,-0.9202728706104573
315,Reward,0.1,0.35,0.1,0.1768,0.3816520491616724,113215_fnca,0.56,-1.0040559217269442,0.2409893155763974,-1.4230026801821445
173,Punishment,0.1,0.4,0.1,0.124,0.3297134646553274,113215_fnca,0.1739130434782608,-0.15138309116504664,0.39439712203569666,-0.930396953350015
316,Reward,0.1,0.4,0.1,0.1208,0.3260251430720214,113215_fnca,0.56,-1.3471353646579873,0.1610041112578316,-1.826325378560777
174,Punishment,0.1,0.45,0.1,0.168,0.3740159225598059,113215_fnca,0.1739130434782608,-0.015809603606689475,0.3988924269884967,-0.9190635049877729
317,Reward,0.1,0.45,0.1,0.1728,0.3782255989260197,113215_fnca,0.56,-1.0237276405919202,0.2362304011226241,-1.4429476742606224
175,Punishment,0.1,0.5,0.1,0.1392,0.3462936549178297,113215_fnca,0.1739130434782608,-0.10024163880940211,0.3969429440901903,-0.92396272628027
318,Reward,0.1,0.5,0.1,0.1552,0.3622401611465493,113215_fnca,0.56,-1.1174906689494117,0.2136681366835194,-1.5433312307991747
176,Punishment,0.1,0.55,0.1,0.204,0.4031302658061871,113215_fnca,0.1739130434782608,0.07463333585626657,0.3978327450401821,-0.9217236006151898
319,Reward,0.1,0.55,0.1,0.1672,0.3733036893945898,113215_fnca,0.56,-1.0522264075049155,0.22934479803608346,-1.4725287395300228
177,Punishment,0.1,0.6,0.1,0.1216,0.3269540627784488,113215_fnca,0.1739130434782608,-0.1600012033302344,0.39386828573566973,-0.9317387257382341
320,Reward,0.1,0.6,0.1,0.1416,0.3487789520683906,113215_fnca,0.56,-1.1996136737000052,0.19427608437189187,-1.6384750162686836
178,Punishment,0.1,0.65,0.1,0.1944,0.3958964854880339,113215_fnca,0.1739130434782608,0.05174826570254664,0.39840847747065344,-0.9202774747062834
